dataset,vehicle,feature,available,source_column,derivation,unit,confidence,usable_for_training,usable_for_external_validation,reason
DEVRT,Dacia Spring / Nissan Leaf,terrain_variability,yes,terrain_variability,direct from DEVRT telemetry,count,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,hillyness_score,yes,hillyness_score,direct from DEVRT telemetry,,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,uphill_fraction_1km,yes,uphill_fraction_1km,direct from DEVRT telemetry,frac,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,downhill_fraction_1km,yes,downhill_fraction_1km,direct from DEVRT telemetry,frac,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,flat_fraction_1km,yes,flat_fraction_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,terrain_transition_count_1km,yes,terrain_transition_count_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,gradient_direction_changes_1km,yes,gradient_direction_changes_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_gain_rate,yes,elevation_gain_rate,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_loss_rate,yes,elevation_loss_rate,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,distance_since_trip_start_km,yes,distance_since_trip_start_km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,time_since_trip_start_min,yes,time_since_trip_start_min,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,trip_distance_so_far_km,yes,trip_distance_so_far_km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,trip_elapsed_time_min,yes,trip_elapsed_time_min,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,hour_of_day,yes,hour_of_day,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,day_of_week,yes,day_of_week,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,current_speed_kmh,yes,current_speed_kmh,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_speed_500m,yes,mean_speed_500m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_speed_1km,yes,mean_speed_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_std_500m,yes,speed_std_500m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_std_1km,yes,speed_std_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,min_speed_recent,yes,min_speed_recent,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,max_speed_recent,yes,max_speed_recent,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,high_speed_fraction,yes,high_speed_fraction,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,stopped_fraction,yes,stopped_fraction,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,stop_count_recent,yes,stop_count_recent,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_change_recent,yes,speed_change_recent,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,acceleration_mps2,yes,acceleration_mps2,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_acceleration,yes,mean_acceleration,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,std_acceleration,yes,std_acceleration,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,max_acceleration,yes,max_acceleration,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,min_acceleration,yes,min_acceleration,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,motor_power_kw,yes,motor_power_kw,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,torque_nm,yes,torque_nm,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,motor_rpm,yes,motor_rpm,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_motor_power_500m,yes,mean_motor_power_500m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_motor_power_1km,yes,mean_motor_power_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,max_motor_power_1km,yes,max_motor_power_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,positive_motor_power_fraction,yes,positive_motor_power_fraction,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,power_variability,yes,power_variability,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,aux_power_kw,yes,aux_power_kw,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_aux_power_500m,yes,mean_aux_power_500m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_aux_power_1km,yes,mean_aux_power_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,max_aux_power_1km,yes,max_aux_power_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,aux_power_variability,yes,aux_power_variability,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,aux_energy_1km,yes,aux_energy_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_power_kw,yes,regen_power_kw,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_regen_power_500m,yes,mean_regen_power_500m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_regen_power_1km,yes,mean_regen_power_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,max_regen_power_1km,yes,max_regen_power_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_event_count_1km,yes,regen_event_count_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_duration_estimate,yes,regen_duration_estimate,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_energy_recovered_1km,yes,regen_energy_recovered_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_fraction_of_driving_time,yes,regen_fraction_of_driving_time,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_intensity,yes,regen_intensity,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,current_temperature_c,yes,current_temperature_c,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,temperature_recent_mean,yes,temperature_recent_mean,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_x_gradient,yes,speed_x_gradient,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_squared,yes,speed_squared,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_x_temperature,yes,speed_x_temperature,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,hour_sin,yes,hour_sin,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,hour_cos,yes,hour_cos,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_1km_net_elev_m,yes,next_1km_net_elev_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_1km_gradient_pct,yes,next_1km_gradient_pct,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_1km_gain_m,yes,next_1km_gain_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_1km_loss_m,yes,next_1km_loss_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_2km_net_elev_m,yes,next_2km_net_elev_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_2km_gradient_pct,yes,next_2km_gradient_pct,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_2km_gain_m,yes,next_2km_gain_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_2km_loss_m,yes,next_2km_loss_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_5km_net_elev_m,yes,next_5km_net_elev_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_5km_gradient_pct,yes,next_5km_gradient_pct,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_5km_gain_m,yes,next_5km_gain_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_5km_loss_m,yes,next_5km_loss_m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_5km_uphill_frac,yes,next_5km_uphill_frac,direct from DEVRT telemetry,frac,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_5km_downhill_frac,yes,next_5km_downhill_frac,direct from DEVRT telemetry,frac,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,next_5km_flat_frac,yes,next_5km_flat_frac,direct from DEVRT telemetry,frac,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_p10,yes,speed_p10,direct from DEVRT telemetry,km/h,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_p50,yes,speed_p50,direct from DEVRT telemetry,km/h,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_p90,yes,speed_p90,direct from DEVRT telemetry,km/h,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,speed_iqr,yes,speed_iqr,direct from DEVRT telemetry,km/h,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_pos_accel,yes,mean_pos_accel,direct from DEVRT telemetry,m/s²,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_neg_accel,yes,mean_neg_accel,direct from DEVRT telemetry,m/s²,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_share_1km,yes,regen_share_1km,direct from DEVRT telemetry,frac,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,regen_events_per_km,yes,regen_events_per_km,direct from DEVRT telemetry,count,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,temperature_bucket,yes,temperature_bucket,direct from DEVRT telemetry,category,high,yes,yes,Direct DEVRT telemetry
TUM,"Various (VW ID.3, CUPRA Born)",current_soc_pct,conditional,current_soc_pct,from TUM telemetry where available,%,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",battery_capacity_kwh,conditional,battery_capacity_kwh,from TUM telemetry where available,kWh,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",speed_kmh,conditional,speed_kmh,from TUM telemetry where available,km/h,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",altitude_m,conditional,altitude_m,from TUM telemetry where available,m,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",ambient_temperature_c,conditional,ambient_temperature_c,from TUM telemetry where available,°C,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",distance_since_trip_start_km,conditional,distance_since_trip_start_km,from TUM telemetry where available,km,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",time_since_trip_start_min,conditional,time_since_trip_start_min,from TUM telemetry where available,min,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",motor_power_kw,conditional,motor_power_kw,from TUM telemetry where available,kW,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",motor_rpm,conditional,motor_rpm,from TUM telemetry where available,RPM,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",motor_torque_nm,conditional,motor_torque_nm,from TUM telemetry where available,Nm,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",aux_power_kw,conditional,aux_power_kw,from TUM telemetry where available,kW,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",regen_power_kw,conditional,regen_power_kw,from TUM telemetry where available,kW,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",battery_voltage_v,conditional,battery_voltage_v,from TUM telemetry where available,unknown,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",battery_temperature_c,conditional,battery_temperature_c,from TUM telemetry where available,unknown,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",battery_current_a,conditional,battery_current_a,from TUM telemetry where available,unknown,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",target_future_energy_kwh_per_km,conditional,target_future_energy_kwh_per_km,from TUM telemetry where available,kWh/km,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",target_remaining_km,conditional,target_remaining_km,from TUM telemetry where available,km,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",target_conservative_km,conditional,target_conservative_km,from TUM telemetry where available,km,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",target_optimistic_km,conditional,target_optimistic_km,from TUM telemetry where available,km,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",past_1km_gradient_pct,conditional,past_1km_gradient_pct,from TUM telemetry where available,%,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",past_5km_gradient_pct,conditional,past_5km_gradient_pct,from TUM telemetry where available,%,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",terrain_class,conditional,terrain_class,from TUM telemetry where available,categorical,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",elevation_gain_100m,conditional,elevation_gain_100m,from TUM telemetry where available,m,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",elevation_gain_500m,conditional,elevation_gain_500m,from TUM telemetry where available,m,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",elevation_gain_1km,conditional,elevation_gain_1km,from TUM telemetry where available,m,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",net_elevation_change_1km,conditional,net_elevation_change_1km,from TUM telemetry where available,m,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",mean_gradient_500m,conditional,mean_gradient_500m,from TUM telemetry where available,%,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",mean_gradient_1km,conditional,mean_gradient_1km,from TUM telemetry where available,%,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",max_uphill_gradient,conditional,max_uphill_gradient,from TUM telemetry where available,%,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",max_downhill_gradient,conditional,max_downhill_gradient,from TUM telemetry where available,%,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",terrain_variability,conditional,terrain_variability,from TUM telemetry where available,count,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",hillyness_score,conditional,hillyness_score,from TUM telemetry where available,,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",uphill_fraction_1km,conditional,uphill_fraction_1km,from TUM telemetry where available,frac,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
TUM,"Various (VW ID.3, CUPRA Born)",downhill_fraction_1km,conditional,downhill_fraction_1km,from TUM telemetry where available,frac,medium,no,no,TUM missing GPS/altitude terrain and traction-motor features
JAC,JAC IEV40,speed_kmh,unverified,speed_kmh,"raw signal, meaning not fully settled",km/h,low,no,no,"JAC: SOC unavailable, VOL/CUR unverified"
JAC,JAC IEV40,battery_voltage_v,unverified,battery_voltage_v,"raw signal, meaning not fully settled",V,low,no,no,"JAC: SOC unavailable, VOL/CUR unverified"
JAC,JAC IEV40,odometer,unverified,odometer,"raw signal, meaning not fully settled",km,low,no,no,"JAC: SOC unavailable, VOL/CUR unverified"
JAC,JAC IEV40,timestamp,unverified,timestamp,"raw signal, meaning not fully settled",datetime,low,no,no,"JAC: SOC unavailable, VOL/CUR unverified"
